data_snap_source,tweet_date,user_name,tweet_text,word_count,image_tweet_text,image_description,image_subjects,image_contains_face,detected_persons,chapter_code,pmi_scores,pmi_sum,hedge_count,booster_count,epistemic_stance,epistemic_density,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_abs,selection_score
FL_80,12-Mar,@VigilantFox,"This might blow your mind.

Nearly 20 years ago, CBS aired a segment on the flu shot, revealing a shocking truth: despite flu shot uptake among seniors rising from 15% to 65%, flu deaths kept going up.

NIH scientists were devastated. This was not the result they were hoping to
Show more",52,"TV Children's Health Defense Florida reposted oY The Vigilant Fox 3 @ @VigilantFox - Mar 12 Jor This might blow your mind. Nearly 20 years ago, CBS aired a segment on the flu shot, revealing a shocking truth: despite flu shot uptake among seniors rising from 15% to 65%, flu deaths kept going up. NIH scientists were devastated. This was not the result they were hoping to mt  , ces 5:50:39 sat 2006 a a p — , ‘ FLU.SHOTS ) J & BA er v"" GH SENIORS : po | , ee 3:57 ot OE < a © 660 TQ 19k 9 45k il 4.5M As","A screenshot from a CBS news segment from January 24, 2006 showing a split screen. On the left is a news broadcast with a graphic that says 'FLU SHOTS & SENIORS' with an image of medication vials. On the right is a person speaking into a microphone in what appears to be a studio setting for 'The Jimmy Dore Show' with the show's logo and '@JIMMY_DORE' displayed.","news broadcast, TV show, flu shots graphic, studio setting",True,Jimmy Dore,FL,"{('shot', 'flu'): 4.770073905978145, ('shot', ','): 3.4075038265934365, ('shot', 'revealing'): 5.577428828035749, ('shot', ':'): 3.9924663273145926, ('shot', 'despite'): 5.577428828035749, ('shot', 'uptake'): 5.577428828035749, ('shot', 'among'): 5.577428828035749, ('shot', 'seniors'): 4.992466327314593}",39.47222569934377,2,3,K+ (high certainty),3.289473684210526,-0.9124,0.095,0.146,0.759,0.9124,5.3182210526315785
FL_22,8-Apr,@ChildrensHD,"FACT: There are many more deaths from the MMR vaccine than from measles.

The shocking truth about the MMR vaccine, a vaccine that's supposed to prevent measles, is that more people in the United States have died from the vaccine itself (according to @CDCgov's VAERS) than have",49,"Children's Health Defense Florida reposted Children’s Health Defense @ @ChildrensHD - Apr 8 Bo y FACT: There are many more deaths from the MMR vaccine than from measles. The shocking truth about the MMR vaccine, a vaccine that’s supposed to prevent measles, is that more people in the United States have died from the vaccine itself (according to @CDCgov's VAERS) than have Show more @ LIVE am | 5 4 = | | i <o = | “i a — M ~F , $. i ""A Ree Po ey G BriantHookertph: Ds YOUR CHILD FOR THE YOUR CHILD MAY DIE. (G23 inked CHD =r : Lae as CHILDREN'S HEALTH DEFENSE O69 Tt 629 9 13k ih 37K As",A screenshot of a live video stream showing two individuals in a split-screen format. The video appears to be from Children's Health Defense TV (CHD TV). The bottom of the image contains text warning about MMR vaccines. There's a timestamp of 2:23 visible in the corner.,"video stream, people, text overlay",True,,FL,"{('vaccine', 'mmr'): 4.6653359171851765, ('vaccine', 'measles'): 3.665335917185176, ('vaccine', ','): 4.343407822297814, ('vaccine', 'died'): 4.6653359171851765, ('vaccine', '('): 4.08037341646402, ('vaccine', 'according'): 4.6653359171851765}",26.08512490750254,1,5,K+ (high certainty),3.773584905660377,-0.8481,0.094,0.111,0.796,0.8481,5.262237735849056
FL_86,7-Mar,@RenzTom,"BREAKING: CDC will study link between vaccines and autism.

Plan on mainstream press meltdowns due to what this would do to the bottom lines of their biggest customers - big pharma.

@catsscareme2021 @unhealthytruth @sayerjigmi @HealthRanger @realdefender45",35,"Exclusive-U.S. CDC plans study into vaccines and autism, sources say

The US Centers for Disease Control and Prevention is planning a large study into potential connections between vaccines and autism, two sources familiar with the matter told Reuters, despite extensive scientific research that has disproven or failed to find evidence of such links",A close-up image of hands wearing purple latex gloves preparing a vaccine syringe. One hand is holding a vial while the other is holding a syringe. The image appears to be from a vaccination clinic or medical setting.,"hands, gloves, syringe, vaccine vial, medical equipment",False,,FL,"{('vaccines', 'study'): 4.54432051622381, ('vaccines', 'autism'): 5.129283016944966, ('vaccines', ','): 4.54432051622381}",14.21792404939259,1,2,K+ (high certainty),3.333333333333333,-0.4939,0.012,0.036,0.952,0.4939,4.331384809878518
FL_89,6-Mar,@CaseyDeSantis,"As a mother of an 8-, 6-, and 4-year-old, it is ridiculous and unconscionable to recommend an mRNA COVID shot to kids given what we know about these vaccines and their adverse effects on children.

It's time for the CDC to follow the data and remove the COVID mRNA vaccine from",54,I thank @CaseyDeSantis for standing with me to call for further protections for Floridians from mRNA vaccine mandates and for her righteous anger at the CDC pushing the mRNA shots on our kids.,The image shows a person speaking at a podium with a 'PATIENT FREEDOM' logo displayed on it. The speaker is wearing a light blue blazer over a white top. The background appears to be a wooden panel wall. There's a video timestamp of 1:14 visible in the corner.,"podium, speaker, wooden background",True,,FL,"{('mrna', 'covid'): 4.614709844115208, ('mrna', 'vaccine'): 4.614709844115208, ('vaccine', 'mrna'): 4.614709844115208}",13.84412953234563,0,1,Neutral,1.149425287356322,-0.5719,0.054,0.094,0.852,0.5719,4.085039699572574
FL_75,13-Mar,@ChildrensHD,"What is the downside of doing a thorough study on a possible link between vaccines and autism? As Russell Brand points out, no one should be opposed to this study.",30,"""If you truly believe that there is no link between vaccines and autism, aren't you going to be the key, primary"" [cut off with 'Show more']",A news broadcast screenshot showing a news presenter in a blue outfit with a city skyline in the background. The lower third banner reads 'CDC TO LOOK AT AUTISM VACCINE LINKS' with 'THERE'S A LINK BETWEEN VACCINES AND AUTISM' below it. The image has a Rumble logo in the corner and shows 'NEWS NATION' branding with 'FIRST 100 DAYS' indicator.,"news broadcast, presenter, city skyline",True,,FL,"{('vaccines', 'link'): 5.108524456778169, ('vaccines', 'autism'): 5.108524456778169}",10.21704891355634,1,1,Mixed,3.508771929824561,-0.5574,0.046,0.136,0.817,0.5574,3.6845255721849526
FL_109,26-Feb,@FLChildren...,You cannot TREAT #Measles with #MMR #Vaccine! It's is a LIVE vaccine. This is crazy! What kind of world are we living in?! The research is CLEARs Vitamin A reduces risk by 50%!! Follow the science on Measles and #VitaminA!,41,HORRIFYING BREAKING NEWS: MMR Vaccine Given to Children With Measles,A screenshot of what appears to be a video or news segment from Children's Health Defense TV (CHD TV). The image shows vials of MMR (Measles-Mumps-Rubella) vaccine and syringes. There are two individuals shown in small panels on the left side of the image. The bottom of the image has text asking 'GETTING THE MMR VACCINE AS WELL?' and shows the CHD TV logo.,"vaccine vials, syringes, medical supplies, video screenshot",True,Two individuals in the video panels,FL,"{('vaccine', '#'): 3.4594316186372973, ('vaccine', 'mmr'): 4.459431618637297}",7.918863237274595,0,0,Neutral,0.0,-0.886,0.058,0.214,0.728,0.886,3.355772647454919
FL_76,13-Mar,@drshannonkroner,WOW!!! This statement was sent to reporters from Dr Dave Weldon following his nomination being pulled for CDC Director. I hope every single news source prints this! Never in a million years did I expect us to be handed the truth like this and in this way. Everything happens for a,51,"A lengthy statement discussing CDC, vaccine safety concerns, interactions with committee members, Andrew Wakefield, MMR vaccine controversy, O'Leary's research, and criticisms of CDC and pharmaceutical companies regarding data manipulation, autism research, and COVID-19 crisis management.","A screenshot of text that appears to be a statement from Dr. Dave Weldon discussing his experiences with CDC, vaccine safety concerns, and various controversies including the MMR vaccine, autism research, and pharmaceutical industry influence.","text statement, letter",False,,FL,"{('vaccine', ','): 4.741466986401147}",4.741466986401147,0,2,K+ (high certainty),2.247191011235955,0.8402,0.158,0.08,0.762,0.8402,2.965772048965623
FL_106,25-Feb,@ChildrensHD,"💡 LONG VAX vs. LONG COVID

""Long COVID"" is just a catch all phrase for vaccine injury. In reality, the majority of people experiencing symptoms are experiencing ""long vax."" According to Dr. Pierre Kory, the majority of people experiencing ""long COVID"" acquired it post",43,"LONG VAX, THE SYNDROMES",The image shows an interview setting with two men in suits sitting across from each other in what appears to be a wood-paneled room. Between them is a graphic showing a blue-gloved hand holding a syringe with the text 'LONG VAX' and 'THE SYNDROMES' overlaid. The image has the Children's Health Defense logo in the corner and appears to be from a program called 'The Tucker Carlson Encounter' as indicated by a logo at the bottom right.,"interview setting, syringe graphic, text overlay",True,Two individuals in an interview setting,FL,"{('vax', 'long'): 3.760812336120574, ('vax', '.'): 3.34577483684173, ('vax', '""'): 2.760812336120574}",9.867399509082878,0,0,Neutral,0.0,-0.4215,0.0,0.055,0.945,0.4215,2.8164799018165754
FL_96,3-Mar,@ChildrensHD,"The truth about the MMR vaccine from @BrianHookerPhD ⬇️

The MMR vaccine has been shown to cause ""febrile seizures, anaphylaxis, meningitis, encephalitis, thrombocytopenia, arthritis and vasculitis,"" as well as ""encephalopathy with features of autism.""

Watch the whole interview:
Show more",39,THAT WE'RE PUTTING THESE KIDS THROUGH.,"A video screenshot showing a person with glasses and a mustache wearing a dark shirt, appearing to be speaking during an interview. The video has a timestamp of 1:41 and includes the Children's Health Defense logo in the corner.","person speaking, interview setting",True,,FL,"{('vaccine', 'mmr'): 4.977279923499917}",4.977279923499917,0,2,K+ (high certainty),4.347826086956522,0.5267,0.089,0.0,0.911,0.5267,2.7010298977434615
FL_58,20-Mar,@radioactivestox,Legal Sunshine notice! Miami dade commissioners will be discussing suspending adding fluoride to the water!,15,"MIAMI-DADE COUNTY, FLORIDA SUNSHINE NOTICE
NOTICE IS GIVEN that the Honorable Roberto J. Gonzalez, Miami-Dade County Commissioner, District 11, is hosting a Fluoride Virtual Town Hall meeting scheduled for Thursday, March 27, 2025, at 4:00 p.m. This meeting will only be held virtually utilizing communications media technology. Other members of the Miami-Dade County Board of County Commissioners may be in attendance.

Interested parties may:
(1) Join the virtual Town Hall meeting online by logging in at: https://miamidade.zoom.us/j/89772740817?pwd=RJc3dRDyjzOWCBh9X6o0YkCTmP...

If you are deaf or hard of hearing, or require additional information regarding this noticed meeting, please contact District 11 at (305) 375-5511 or send an e-mail to District11@miamidade.gov in advance of the meeting to initiate your request. TTY users may also call 711 (Florida Relay Service). This publicly noticed meeting will be recorded.

JUAN FERNANDEZ-BARQUIN, CLERK OF THE COURT AND COMPTROLLER
BASIA PRUNA, DEPUTY CLERK","A screenshot of a legal notice from Miami-Dade County, Florida announcing a Fluoride Virtual Town Hall meeting scheduled for March 27, 2025, at 4:00 p.m. The notice includes details about how to join the meeting and contact information for District 11.","legal notice, government document, public meeting announcement",False,,FL,,0.0,3,3,Mixed,3.428571428571429,0.9648,0.131,0.008,0.861,0.9648,2.443885714285714
HI_35,10-Dec-20,@picphy...,Did you know the Pfizer & Moderna #vaccines for #COVID19 both contain messenger RNA which instructs cells to make viral proteins that trigger an immune response?,25,"1 Children's Health Defense - Hawaii Chapter reposted Physicians for Informed .... @ @picphy... -Dec 10,2020 (J - B Did you know the Pfizer & Moderna for both contain messenger RNA which instructs cells to make viral proteins that trigger an immune response? Subscribe: ¢ rm io) 15 © 22 il A fs",A healthcare worker wearing blue gloves and protective equipment is holding a small vial labeled 'COVID-19 VACCINE'. The person is wearing what appears to be personal protective equipment including a face mask and white protective clothing with blue accents.,"vaccine vial, gloved hand, healthcare worker, PPE",True,,HI,"{('pfizer', 'know'): 5.614709844115208, ('pfizer', '&'): 5.614709844115208, ('pfizer', 'moderna'): 5.614709844115208, ('moderna', 'pfizer'): 5.614709844115208, ('moderna', '&'): 5.614709844115208}",28.07354922057604,0,2,K+ (high certainty),2.73972602739726,0.644,0.076,0.0,0.924,0.644,4.698958904109589
HI_33,11-Dec-20,@hiChi...,Only 44% of Hawaiʻi residents surveyed in Nov 2020 say they'd definitely take the COVID-19 vaccine when available--a 7% drop since August. Growing distrust?,27,Hawaiʻi Survey: COVID-19 Vaccine Uncertainty. Growing uncertainty among Hawaii residents surveyed over COVID-19 vaccine.,The image shows a screenshot of an article or webpage with the URL hi.childrenshealthdefense.org visible. The screenshot contains a headline about Hawaii COVID-19 vaccine uncertainty.,"article preview, website content",False,,HI,"{('vaccine', 'covid'): 4.222392421336448, ('vaccine', '-'): 3.9004643264490855, ('vaccine', '19'): 4.222392421336448, ('vaccine', '.'): 3.6374299206152916}",15.98267908973727,0,1,Neutral,2.325581395348837,-0.5574,0.13,0.207,0.662,0.5574,4.463637209302325
HI_34,10-Dec-20,@hiCh...,"Thank you, PIC!",3,"News, Maryland: Emergency use approval recommended for Pfizer/BioNTech COVID-19 vaccine https://theguardian.com/world/2020/dec/10/coronavirus-covid-pfizer-biontech-vaccine-fda-panel...","The image shows a healthcare professional in a white lab coat, blue gloves, and face mask in what appears to be a medical facility. They are handling what looks like medical equipment or storage. The Guardian logo is visible in the bottom right corner of the image.","healthcare worker, medical facility, PPE, medical equipment",True,Unidentified healthcare worker,HI,"{('pfizer', 'biontech'): 4.727920454563199, ('pfizer', 'covid'): 4.727920454563199, ('vaccine', '-'): 4.242493627392958, ('pfizer', '-'): 3.920565532505595}",17.61890006902495,0,0,Neutral,0.0,0.6239,0.379,0.128,0.493,0.6239,4.2478
HI_40,7-Dec-20,@hiChi...,"Please share with your friends and family, Hawaiʻi! [Click/tap to expand for details on this online presentation] @hfic808 #COVID19 #vaccine #WakeUpAmerica #Fix1986 #DoctorsSpeakUp #DoctorsSpeakOut #InformedConsent #LearnTheRisk #MedicalFreedom #Hawaii http://thehighwire.com/watch",33,"SPECIAL PRESENTATION SUN. DEC. 13, 2020 FROM 6 TO 8 PM VAX 101 The Missed Information 6 PM: Vaccines....what they don't tell you. What about the Covid-19 vaccine? 7 PM: Vaccine requirements for daycare and school enrollment in Hawaii, and exemptions. JOIN US ON ZOOM MEETING ID 892 8181 8848 PASSCODE: 121320 OR EMAIL US FOR THE LINK HealthFreedom808@gmail.com","A promotional flyer for an event titled 'VAX 101: The Missed Information' with a pink/red gradient background. The flyer advertises a special presentation on December 13, 2020, from 6-8 PM. It outlines two session topics: at 6 PM discussing 'Vaccines...what they don't tell you' and information about the Covid-19 vaccine, and at 7 PM covering 'Vaccine requirements for daycare and school enrollment in Hawaii, and exemptions.' The flyer includes Zoom meeting details and contact information.","event announcement, vaccine information, zoom meeting details",False,,HI,"{('vaccine', '#'): 4.180572245641821, ('vaccine', 'pm'): 4.917537839808027}",9.098110085449848,0,0,Neutral,0.0,0.924,0.166,0.022,0.812,0.924,3.66762201708997
HI_56,4-Dec-20,@carrie_madej,Head of Pfizer Research: Covid Vaccine is Female Sterilization,9,"Head of Pfizer Research: Covid Vaccine is Female Sterilization. The vaccine contains a spike protein (see image) called syncytin-1, vital for the formation of human placenta in women. If the vaccine works so that we form an immune response AGAINST the spike protein, we are also training the female body to attack syncytin-1, which could lead to infertility in women of an unspecified duration. [Additional text about syncytin-homologous proteins, mRNA vaccines, PEG, and study duration]","A black and white microscopic image showing what appears to be the SARS-CoV-2 virus with its characteristic spike proteins protruding from the surface, giving it a crown-like appearance.","coronavirus, virus, microscopic view",False,,HI,"{('pfizer', 'head'): 5.714245517666122, ('pfizer', 'research'): 5.714245517666122, ('pfizer', ':'): 5.714245517666122, ('pfizer', 'covid'): 5.714245517666122, ('vaccine', 'research'): 4.714245517666122, ('vaccine', ':'): 4.714245517666122, ('vaccine', 'covid'): 4.714245517666122, ('vaccine', 'female'): 4.129283016944966, ('vaccine', 'sterilization'): 5.2992080183872785, ('vaccine', '.'): 4.129283016944966}",50.55749267594007,1,0,Neutral,1.149425287356322,0.0772,0.05,0.035,0.915,0.0772,3.3268137931034483
HI_47,25-Nov-20,@ChildrensHD,"Fast tracking the #SARSCoV2 #vaccine for a probable #military mandate creates unparalleled dilemma for commanders who will face prodigious legal, medical, safety + ethical questions. #NoMandates #TheDefender",26,Former Officer Warns Military of Pitfalls Surrounding COVID Vaccine M...,"The image shows a military service member in camouflage uniform standing in front of an American flag. The person is holding a stethoscope, suggesting a medical role within the military. Only the torso and arms are visible, not the face. The bottom of the image contains text about COVID vaccine mandates in the military.","military uniform, American flag, stethoscope",False,,HI,"{('vaccine', '#'): 3.263034405833794, ('vaccine', '.'): 3.584962500721156}",6.84799690655495,0,1,Neutral,2.777777777777778,0.765,0.221,0.071,0.708,0.765,3.3162660479776567
HI_12,12-Jan-21,@lifebiomedguru,Scientist Stunned: Johns Hopkins Researcher Admits He Does not Know About Key Vaccine Safety Finding. http://AFP.com Flops in Fact-Checking the 21%,24,speech used to mislead about Covid-19 vaccine safety,The image shows a screenshot with text overlay that reads 'speech used to mislead about Covid-19 vaccine safety' with additional text at the bottom that appears to be a caption or headline about a scientist being stunned regarding vaccine research.,"text overlay, warning message",False,,HI,"{('vaccine', 'safety'): 4.392317422778761}",4.392317422778761,0,2,K+ (high certainty),6.060606060606061,0.6124,0.219,0.107,0.674,0.6124,3.0123543936466617
HI_13,22-Nov-20,@lifebiomedguru,IPAK Study: Vaccinated children require far more healthcare than unvaccinated children. Find out more here: http://ipakknowledge.org/ipak-vaxxed-v-unvaxxed-study.php... #Science #VaxxedVsUnvaxxed #IPAK,27,oi James Lyons-Weiler @ X24 IPAK Study: Vaccinated children require far more healthcare than unvaccinated children. Find out more here: http://ipaknowledge.org/ipak-vaxxed-v-unvaxxed-study.php... #Science #VaxxedVsUnvaxxed #IPAK —— = Va i a — fo —_——————,"A grid of 12 graphs comparing health conditions between vaccinated (orange lines) and unvaccinated (blue lines) children over time. The graphs show various conditions including asthma, allergic rhinitis, breathing issues, behavioral issues, ADHD, respiratory infection, otitis media, ear pain, other infections, eye disorders (conjunctivitis), other eye disorders, eczema, dermatitis, urticaria, and anemia. In all graphs, the orange lines (vaccinated) show higher rates of office visits compared to the blue lines (unvaccinated).","medical graphs, health condition comparisons, statistical data",False,,HI,"{('vaccinated', 'ipak'): 4.260527550223219, ('vaccinated', 'study'): 4.845490050944375, ('vaccinated', ':'): 4.260527550223219, ('vaccinated', 'children'): 4.845490050944375, ('vaccinated', 'require'): 5.845490050944375, ('vaccinated', 'far'): 5.845490050944375, ('vaxxed', '/'): 4.260527550223219, ('vaxxed', 'ipak'): 4.260527550223219, ('vaxxed', '-'): 5.260527550223219, ('vaxxed', 'v'): 5.845490050944375, ('unvaxxed', '-'): 5.260527550223219, ('unvaxxed', 'v'): 5.845490050944375, ('unvaxxed', 'study'): 4.845490050944375, ('unvaxxed', '.'): 3.260527550223219}",68.74212320817314,0,0,Neutral,0.0,0.0,0.0,0.0,1.0,0.0,3.0
