data_snap_source,tweet_date,user_name,tweet_text,word_count,image_tweet_text,image_description,image_subjects,image_contains_face,detected_persons,chapter_code,pmi_scores,pmi_sum,hedge_count,booster_count,epistemic_stance,epistemic_density,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu
MAIN_11,1h,@ChildrensHD,"CHD interviewed thousands of people who were injured by the COVID shots and documented their stories in ""Vaxxed III: Authorized to Kill.""

Order your copy today and find out what really happened during the pandemic ⬇️
https://chdstore.org/product/b67b8ae1-2ea1-ef11-a067-3cecf705787...",44,aah Children’s Health Defense @ @ChildrensHD « th [ome Ed CHD interviewed thousands of people who were injured by the COVID shots and documented their stories in “Vaxxed III: Authorized to Kill.” Order your copy today and find out what really happened during the pandemic https://chdstore.org/product/b67b8aet-2ea1-ef11-a067-3cecef705787... 1@) ta O19 tht 4.7K As,"The image shows the Children's Health Defense logo, which appears to be a globe or Earth icon with some design elements around it.","globe, organization logo",False,,MAIN,"{('shots', 'covid'): 6.209453365628949, ('shots', 'documented'): 6.209453365628949, ('vaxxed', 'stories'): 6.209453365628949, ('vaxxed', 'iii'): 6.209453365628949, ('vaxxed', ':'): 5.209453365628949, ('vaxxed', 'authorized'): 6.209453365628949}",36.2567201937737,0,0,Neutral,0.0,-0.8625,0.015,0.103,0.881
MAIN_110,16-Apr,@ChildrensHD,"Our Autism Story: A 'Textbook Case' of MMR Vaccine Injury

""When other parents asked why I'd bother questioning vaccines, doctors and pharmaceutical companies, I'd ask them: If there are no problems, why are vaccine companies paying out?

Got funny looks and no answers. Maybe
Show more",48,Our Autism Story,"The image shows colorful puzzle pieces drawn in chalk on a dark surface. There are pink, blue, yellow, and orange puzzle pieces arranged together, with some chalk pieces visible nearby. The text 'Our Autism Story' appears on the right side of the image, with 'Our' in white and 'Autism Story' in yellow.","puzzle pieces, chalk, autism awareness symbol",False,,MAIN,,0.0,1,1,Mixed,3.92156862745098,-0.3903,0.091,0.154,0.755
MAIN_111,16-Apr,@SecKennedy,The autism epidemic has now reached a scale unprecedented in human history because it affects the young. The risks and costs of this crisis are a thousand times more threatening to our country than COVID-19. Autism is preventable and it is unforgivable that we have not yet,48,"At today's HHS press conference, @SecKennedy presented new data showing that in the U.S. autism prevalence numbers have increased from 1 in 36 children to 1 in 31, according to @CDCgov latest Autism and Developmental Disabilities Monitoring Network survey published Tuesday in the","Four images from an HHS press conference showing a speaker at a podium with government flags and emblems visible. The images show different angles of the press conference setup, including the podium area and the audience/press section filled with journalists and cameras.","press conference, podium, government flags, audience, journalists, cameras",True,A person speaking at a podium,MAIN,,0.0,0,0,Neutral,0.0,-0.8469,0.035,0.108,0.857
MAIN_112,16-Apr,@ChildrensHD,"After All The Shots, My Son No Longer Spoke",9,"After All The Shots, My Son No Longer Spoke","A screenshot from a video showing three people sitting on a couch in what appears to be a medical or office setting. The video has a timestamp of 9:18 and shows 3,531 views. The setting has window blinds in the background and appears to be from a video interview or testimonial.","people on couch, interview setting, medical/office environment",True,,MAIN,"{('shots', ','): 3.321928094887362, ('shots', 'son'): 3.321928094887362}",6.643856189774724,0,0,Neutral,0.0,-0.5267,0.0,0.216,0.784
MAIN_113,16-Apr,@ChildrensHD,Catch our CEO @maryhollandnyc on @Bannons_WarRoom this evening talking about the alarming new autism rate and more.,17,Bannons War Room,"The image shows the logo for 'War Room', which features an eagle head in profile against an American flag background. The logo is designed in a shield/emblem style with 'WAR ROOM' prominently displayed in white text on a banner across the center. The background is dark blue.","eagle, American flag, shield, text",False,,MAIN,,0.0,0,0,Neutral,0.0,-0.6887,0.0,0.24,0.76
MAIN_114,16-Apr,@ChildrensHD,"⚠️ INSANITY: 1 in 31 kids had autism in 2022, a rise from 1 in 36 in 2020

""Why is this not a national emergency?""",24,WHY IS THIS NOT A NATIONAL EMERGENCY?,"A screenshot of a video panel discussion with three participants in separate video windows. The video appears to be from CHD TV (Children's Health Defense TV). The bottom of the image has a yellow banner with the text 'WHY IS THIS NOT A NATIONAL EMERGENCY?' There's a live indicator in the top left of the main video panel, and a timestamp of 0:58 is visible.","video conference, panel discussion, CHD TV branding",True,,MAIN,,0.0,0,0,Neutral,0.0,-0.2222,0.136,0.115,0.749
MAIN_115,16-Apr,@FluorideAction,"NORTH DAKOTA - ""Misuse of CDC Funds: How Big Fluoride Tries to Prevent Towns From Cleaning Up Their Water. When Washburn, North Dakota's town commissioners decided in January to take up the issue of whether or not to continue fluoridating the water supply for the town's 1,300",49,"Profanity-ridden Emails, Misuse of CDC Funds: How Big Fluoride Tries to Prevent Towns From Cleaning Up Their Water. Washburn, North Dakota's town commissioners voted Monday night to stop fluoridating the town's water supply. But in the months leading up to what the commissioners thought would be a small-town, local debate, the commissioners uncovered a federally funded, coordinated lobbying scheme by state actors and a national fluoride lobby group to crush efforts by small towns like theirs to stop fluoridating their water supplies.","The image shows a child holding a glass of water up to their face, partially obscuring it. Next to the child is the North Dakota state flag, which features a blue background with an eagle emblem.","child, glass of water, North Dakota flag",True,,MAIN,,0.0,1,0,Neutral,0.7407407407407408,-0.1655,0.048,0.053,0.899
MAIN_116,16-Apr,@ChildrensHD,"""Besieged by thousands of lawsuits alleging that its paraquat weedkiller causes Parkinson's disease, @Syngenta has entered into an agreement aimed at settling large swaths of those claims. Numerous scientific studies have linked Parkinson's to exposure to paraquat, a weedkiller Show more",43,"Syngenta Settling Thousands of Lawsuits Alleging Paraquat Causes Parkinson's Disease. Amid calls by state and federal officials to ban the weedkiller, Syngenta has entered into an agreement aimed at settling thousands of lawsuits. Lawyers for plaintiffs outside the proposed settlement are frustrated that they weren't included in discussions. by Carey Gillam APRIL 16, 2025","The image shows a Syngenta logo sign next to a judge's gavel placed on top of US dollar bills, symbolizing legal settlements and financial compensation.","Syngenta logo, gavel, money, US dollars",False,,MAIN,,0.0,0,1,Neutral,1.01010101010101,-0.5267,0.06,0.111,0.829
MAIN_117,16-Apr,@ChildrensHD,"🔥 Dr. Suzanne Humphries GOES OFF on fever reducers like Tylenol

""The medical literature says that it's not a good idea to lower fevers in people with infections ... We need to stop it.""",33,"DOCTOR SHARES THE TRUTH
THE MICROBE, THE INVADERS,
ABOUT FEVER REDUCERS","The image shows a video screenshot of a medical professional wearing glasses and a striped shirt speaking about fever reducers. The video has text overlays including 'DOCTOR SHARES THE TRUTH', 'THE MICROBE, THE INVADERS,' and 'ABOUT FEVER REDUCERS'. The CHD.TV logo appears in the corner, and there's a timestamp of 0:33 visible.","medical professional, video frame, text overlays",True,Dr. Suzanne Humphries,MAIN,,0.0,0,1,Neutral,2.272727272727273,0.067,0.152,0.165,0.683
MAIN_118,16-Apr,@ChildrensHD,"WARNING: Plastics found in common items contain chemicals that may interfere with the body's circadian rhythm, increasing the risk of chronic diseases such as cancer and diabetes.",28,"Chemicals in Plastics May Disrupt Body's Internal Clock, Raise Risk of...","A composite image showing two parts: on the left, hands wrapping food in plastic wrap with fruit visible in a container; on the right, a gloved hand holding a red alarm clock, symbolizing the body's internal clock or circadian rhythm. The image illustrates the connection between plastic use and potential disruption to biological timing.","plastic wrap, food container, fruits, alarm clock, gloved hand",False,,MAIN,,0.0,2,0,K- (low certainty),5.0,-0.8941,0.0,0.257,0.743
MAIN_119,16-Apr,@DrNoMask,Stop the Shots!,3,Joe Rogan BAFFLED at Dr. Suzanne Humphries' TRUTH BOMB that they're giving 6-month-olds COVID shots,The image shows a person speaking at a microphone against a red curtain background. The person is wearing glasses and a white top. There is a caption overlay at the bottom of the image that reads 'WE KNOW THAT IT RUINS STEM CELLS IN PREGNANT WOMEN.' The Children's Health Defense logo appears in the corner of the image.,"speaker, microphone, curtain, text overlay",True,,MAIN,,0.0,0,1,Neutral,4.761904761904762,-0.2481,0.21,0.248,0.541
MAIN_12,1h,@ChildrensHD,"👏 'Always Listen to the Mom': U.S. to Phase Out Artificial Dyes Used in Food Products

@HHSGov announced it will phase out all petroleum-based synthetic dyes from U.S. foods and medications.

""Some parents have observed that these chemicals cause hyperactivity — and even",44,"'Always Listen to the Mom': U.S. to Phase Out Artificial Dyes Used in Food Products

During a press conference late this afternoon, Dr. Marty Makary, head of the FDA, and HHS Secretary Robert F. Kennedy Jr. outlined six steps the FDA is taking to phase out the dyes, which have been linked to neurobehavioral issues in children.

by Suzanne Burdick, Ph.D.

APRIL 22, 2025",The image shows three men in suits standing at a podium with the Department of Health and Human Services seal. They appear to be at an official government press conference with flags visible in the background including the American flag and what appears to be the HHS flag.,"government officials, podium, press conference, flags",True,Government officials at a press conference,MAIN,,0.0,0,3,K+ (high certainty),2.727272727272727,0.0,0.0,0.0,1.0
MAIN_120,15-Apr,@ChildrensHD,"The father of the 8-year-old West Texas child who died in a hospital from a hospital-acquired pneumonia after testing positive for measles shared his story in an interview with CHD.

On March 27, Daisy was readmitted to UMC. The staff put her on what Hildebrand called a
Show more",52,"Children’s Health Defense % @ChildrensHD - Apr 15 Jor y The father of the 8-year-old West Texas child who died ina hospital from a hospital-acquired pneumonia after testing positive for measles shared his story in an interview with CHD. On March 27, Daisy was readmitted to UMC. The staff put her on what Hildebrand called a Show more =— ~ | ‘s | > =) y = = >) wa 4 — J { XN 0 53 tl 372 O79 ih 27K As",The image shows a split photo with two people. On the left side is a young child with blonde hair. On the right side is an adult in a salmon/pink colored shirt sitting in front of what appears to be a world map on the wall. The image appears to be related to the story mentioned in the tweet about a child who died after contracting measles.,"person, child, world map, interior setting",True,,MAIN,,0.0,0,2,K+ (high certainty),1.587301587301587,0.83,0.114,0.049,0.837
MAIN_121,16-Apr,@ChildrensHD,https://tdefender.substack.com/p/dad-west-texas-child-died-talks-chd-tv...,13,Children’s Health Defense % @ChildrensHD - Apr 16 Jor { https://tdefender.substack.com/p/dad-west-texas-child-died-talks- chd-tv... (@) 2 O7 tlt 2.5K As,"The image shows a logo for Children's Health Defense, which appears to be a globe or earth icon with a stylized design in blue and green colors.","globe, earth, logo",False,,MAIN,,0.0,0,0,Neutral,0.0,0.128,0.077,0.0,0.923
MAIN_122,16-Apr,@ChildrensHD,"North Dakota Town's Effort to End Water Fluoridation Exposes CDC-funded Lobbying — and a String of Profane Emails

""Real grassroots come from the community naturally. And here, the oral health program used @CDCgov's cash to manufacture support for fluoridation in Washburn."" —
Show more",45,"North Dakota Town's Effort to End Water Fluoridation Exposes CDC-funded Lobbying — and a String of Profane Emails

Washburn, North Dakota's town commissioners voted Monday night to stop fluoridating the town's water supply. But in the months leading up to what the commissioners thought would be a small-town, local debate, the commissioners uncovered a federally funded, coordinated lobbying scheme by state actors and a national fluoride lobby group to crush efforts by small towns like theirs to stop fluoridating their water supplies.

by Brenda Baletti, Ph.D.

APRIL 15, 2025","The image shows the North Dakota state flag on the left side with a red pin on it, and on the right side is a child holding a glass of water. The child is drinking or about to drink from the glass, with only partial face visible behind the glass.","North Dakota flag, child, glass of water",True,Unidentified child,MAIN,,0.0,1,1,Mixed,1.43884892086331,-0.1779,0.045,0.085,0.87
MAIN_123,16-Apr,@ChildrensHD,LIVE: HHS Secretary Kennedy to Hold Press Conference on Latest CDC Data Showing Alarming Increase of Autism Epidemic https://x.com/i/broadcasts/1mrGmPbbYEvKy...,24,aah Children’s Health Defense @ @ChildrensHD - Apr 16 os 4 LIVE: HHS Secretary Kennedy to Hold Press Conference on Latest CDC Data Showing Alarming Increase of Autism Epidemic https://x.com/i/broadcasts/1mrGmPbbYEvky... Oa TQ 240 © 693 ih 36K As,"The image shows the Children's Health Defense logo, which appears to be a globe or earth icon in blue and green colors.","globe, earth, organization logo",False,,MAIN,,0.0,0,0,Neutral,0.0,0.4767,0.1,0.049,0.851
MAIN_124,16-Apr,@ChildrensHD,"WHO WATCH: 13th Meeting of the INB for a Pandemic Agreement, Concluded | Apr. 15",14,ZERO DRAFT Final report of the meeting,"A screenshot showing a split screen of a WHO meeting. On the left is a document titled 'ZERO DRAFT Final report of the meeting' with text about the 13th meeting of the Intergovernmental Negotiating Body (INB). On the right is a video feed of what appears to be a virtual meeting with a person visible. The image has a blue header with the World Health Organization logo and '#EXITTHEWHO' text. There's also a 'CHDTV' logo in the corner and a timestamp showing '1:09:54' with '1,278 views'.","WHO meeting, document, video conference",True,Unidentified meeting participant,MAIN,,0.0,0,0,Neutral,0.0,0.4939,0.132,0.0,0.868
MAIN_126,15-Apr,@ChildrensHD,"""We love people who fight the system and don't sit back and just get beaten into submission."" @leila_centner",19,"'Erased': New Podcast Features Stories Like Those of Dr. Pierre Kory, ...","The image shows three people in what appears to be a podcast setting. There are two people wearing headphones on either side, and a person in the middle wearing a white coat holding a microphone. The image appears to be promoting a podcast called 'Erased' that features stories including that of Dr. Pierre Kory.","podcast hosts, microphones, headphones, medical professional",True,Dr. Pierre Kory (referenced in text),MAIN,,0.0,0,0,Neutral,0.0,0.3182,0.176,0.142,0.682
MAIN_127,15-Apr,@ChildrensHD,"""The public health establishment often prioritizes profits over people and continuously seems to protect the lies over the truth. The idea that critical records might vanish — whether through negligence or intent — fits a familiar playbook."" @DrBenTapper1

READ MORE:
Show more",40,"Did Head of CDC Vaccine Safety Office Delete COVID Vaccine Injury Records? Dr. Tom Shimabukuro, director of the CDC Immunization Safety Office, may have mishandled or deleted official records subpoenaed by Congress, Sen. Ron Johnson alleged earlier this week.","The image shows an article preview with a headline about CDC vaccine safety records. The illustration shows a magnifying glass focusing on a red email envelope icon, surrounded by other beige email icons. On the right side is a COVID-19 vaccine vial being held by a gloved hand.","article preview, email icons, magnifying glass, COVID-19 vaccine vial, gloved hand",False,,MAIN,"{('vaccine', 'office'): 5.554588851677638}",5.554588851677638,3,2,K- (low certainty),6.329113924050633,0.6705,0.142,0.084,0.774
MAIN_13,1h,@ChildrensHD,👏 'Always Listen to the Mom': U.S. to Phase Out Artificial Dyes Used in Food Products,16,"'Always Listen to the Mom': U.S. to Phase Out Artificial Dyes Used in Food Products. During a press conference late this afternoon, Dr. Marty Makary, head of the FDA, and HHS Secretary Robert F. Kennedy Jr. outlined six steps the FDA is taking to phase out the dyes, which have been linked to neurobehavioral issues in children.",The image shows a press conference with three men in suits standing at a podium with the Department of Health and Human Services seal. They appear to be government officials at an official announcement event with various flags in the background including the American flag.,"press conference, podium, government officials, flags",True,Officials at a government press conference,MAIN,,0.0,0,2,K+ (high certainty),2.702702702702703,0.0,0.0,0.0,1.0
MAIN_15,6h,@Honest_Medici...,"The CDC says it ""lost"" critical data on mRNA shot injuries — that's not just a mistake, it's a breach of public trust.

When safety info disappears, so does confidence in the system. Americans are still waiting for answers.",40,"TRUST REQUIRES TRANSPARENCY
The CDC chose to withhold critical safety data amid growing evidence of mRNA shot injuries.",The image shows the CDC (Centers for Disease Control and Prevention) building with its logo and signage. The building appears to be the David J. Sencer CDC Museum. The image has a blue overlay with text stating 'TRUST REQUIRES TRANSPARENCY' and 'The CDC chose to withhold critical safety data amid growing evidence of mRNA shot injuries.' The Independent Medical Alliance logo appears in the bottom right corner.,"CDC building, CDC logo, text overlay",False,,MAIN,"{('mrna', 'shot'): 5.108524456778169, ('mrna', 'injuries'): 5.108524456778169, ('shot', 'mrna'): 5.108524456778169, ('shot', 'injuries'): 5.108524456778169}",20.43409782711268,0,1,Neutral,1.724137931034483,0.8989,0.268,0.123,0.609
MAIN_16,3h,@jeffdornik,"People in authority lie.

They lied about lockdowns, mandates, vaccines, and more.

@MaryHollandNYC exposes why we must never give blind trust to public health officials, not even to @RobertKennedyJr... and he agrees.

Question everything.",34,PEOPLE IN AUTHORITY LIE,A screenshot from what appears to be 'The Jeff Dornik Show' featuring a split-screen video interview. The image shows two people in conversation with a caption 'PEOPLE IN AUTHORITY LIE' at the bottom. The left side has an American flag background. At the bottom of the image is text mentioning 'Ivermectin + Mebendazole' with a URL.,"interview, American flag, video call",True,Two individuals in a video interview,MAIN,,0.0,0,2,K+ (high certainty),5.263157894736842,-0.1752,0.163,0.156,0.682
MAIN_17,4h,@jeffdornik,"A one-year-old baby died after getting ""safe and effective"" routine shots.

@ChildrensHD CEO @MaryHollandNYC exposes the deadly corruption behind forced vaccination and the lies we're told.

Medical freedom is not optional.",34,"TV Children’s Health Defense reposted 3 Jeff Dornik @ @jeffdornik - 4h Bor A one-year-old baby died after getting ""safe and effective"" routine shots. @ChildrensHD CEO @MaryHollandNYC exposes the deadly corruption behind forced vaccination and the lies we're told. Medical freedom is not optional. Kk | | inane atl eer ‘ve Wr ad Or | & a | = i f 7 NE \ 7“ eee! : 2:23 ""show INR _ : ‘jeff O1 23 O 38 tht 2.2K As","A screenshot from what appears to be a video interview or livestream. The image shows a split-screen with two people in conversation. On the left is a person with an American flag background, and on the right is a person wearing glasses and a gray turtleneck sweater. The bottom of the image shows 'IN ROCHESTER' and a timestamp of '2:23'.","interview, American flag, video call",True,,MAIN,"{('shots', 'effective'): 6.219168520462161, ('shots', '""'): 4.897240425574799, ('shots', 'routine'): 6.219168520462161, ('shots', '.'): 4.4118135984045574, ('shots', '@'): 4.634206019741005, ('shots', 'childrenshd'): 6.219168520462161, ('vaccination', 'corruption'): 6.219168520462161, ('vaccination', 'behind'): 6.219168520462161, ('vaccination', 'forced'): 6.219168520462161, ('vaccination', 'lies'): 6.219168520462161}",57.47743968695549,0,1,Neutral,0.9174311926605505,-0.0777,0.155,0.172,0.673
MAIN_18,8h,@jeffdornik,Mass vaccination isn't healthcare — it's medical tyranny. @ChildrensHD's @MaryHollandNYC exposes the violation of the Nuremberg Code. The truth they fear is the truth we must fight for.,30,"CHD's Mary Holland Declares Mass Vaccination Violates Nuremberg Code. For decades, Americans have been sold a lie. A lie wrapped in a white lab coat, ...","A dark, dramatic artistic image showing the Statue of Liberty in the background with rows of silhouetted figures that appear to be in formation, creating a perspective pathway leading toward the statue. The image has an ominous, dystopian aesthetic with dark tones.","Statue of Liberty, silhouetted figures, dystopian imagery",False,,MAIN,"{('vaccination', 'mass'): 5.189824558880018}",5.189824558880018,0,3,K+ (high certainty),5.357142857142857,-0.8481,0.07,0.211,0.719
MAIN_19,2h,@ChildrensHD,💊 How 'Corporatized Healthcare' Turned Family Doctors Into Pill Pushers,9,"Doctors are using scare tactics to prescribe antidepressants, vaccines and other potentially harmful treatments to their patients. Big Pharma and corporate medicine are driving the change, but patients have",A conceptual medical image showing a stethoscope encircling paper cutout figures of a family (two adults and two children). A hand in a white medical coat sleeve is holding a blue and white pill/capsule near the paper family figures. The background is light blue.,"stethoscope, paper family cutouts, pill, medical professional hand",False,,MAIN,,0.0,0,0,Neutral,0.0,-0.2732,0.0,0.052,0.948
MAIN_02,1h,@jeffdornik,"Vaccines violate the Nuremberg Code and are causing brain damage.

@MaryHollandNYC of @ChildrensHD lays out the devastating truth Big Pharma wants hidden.

@SecKennedy's radical transparency is about to expose it all.

@RobertKennedyJr",33,"1 Children’s Health Defense reposted 3 Jeff Dornik @ @jeffdornik - 1h Bur Vaccines violate the Nuremberg Code and are causing brain damage. @MaryHollandNYC of @ChildrensHD lays out the devastating truth Big Pharma wants hidden. @SecKennedy’s radical transparency is about to expose it all. @RobertKennedyJr a a. | s Oe foe 7 a —_,  —— a mr z ? side” v SS Soon | AN ADVERSE Gency ities or 01 tris 9 40 tht 1.8K A Ss",A screenshot from 'The Jeff Dornik Show' showing a split-screen video interview. On the left is a person with a blue shirt against an American flag background. On the right is a person wearing glasses and a light-colored turtleneck sweater against a light background. The video has a caption 'AN ADVERSE REACTION TO' and shows a timestamp of 0:16/3:04.,"video interview, American flag, microphone",True,Two individuals in an interview setting,MAIN,"{('vaccines', 'violate'): 6.098032082960526, ('vaccines', 'nuremberg'): 6.098032082960526}",12.19606416592105,0,2,K+ (high certainty),1.869158878504673,-0.9767,0.046,0.231,0.723
MAIN_20,3h,@ChildrensHD,My Daughter Has Non-Speaking Autism,6,My Daughter Has Non-Speaking Autism,"A video screenshot showing two people sitting side by side in what appears to be a small enclosed space with window blinds visible in the background. One person is wearing a gray shirt with an orange logo, and the other is wearing a blue t-shirt. There's a CHD/TV logo in the top right corner of the image. The video counter shows 11:46 and 1,801 views.","two people, interior setting, video interview",True,,MAIN,,0.0,0,0,Neutral,0.0,0.0,0.0,0.0,1.0
